Message Counter,Duration (ms),Empty Mask
1,4161,1
2,1294,1
3,1247,1
4,1247,1
5,1243,1
6,1263,1
7,1259,1
8,1265,1
9,1254,1
10,1253,1
11,1251,1
12,1263,1
13,1257,1
14,1264,1
15,1265,1
16,1274,1
17,1270,1
18,1257,1
19,1250,1
20,1260,1
21,1240,1
22,1259,1
23,1260,1
24,1275,1
25,1934,1
26,1260,1
27,1264,1
28,1293,1
29,1260,1
30,1332,1
31,1309,1
32,1357,1
33,1293,1
34,1297,1
35,1616,1
36,1291,1
37,1278,1
38,1291,1
39,1867,0
40,1469,1
41,1292,1
42,1565,1
43,1286,1
44,1404,1
45,1291,1
46,1297,1
47,2235,1
48,1465,1
49,1504,1
50,1307,1
51,1378,1
52,1591,1
53,1339,1
54,1299,1
55,1356,1
56,1306,1
57,1343,1
58,1284,1
59,1291,1
60,1275,1
61,1278,1
62,1665,1
63,1850,1
64,1787,1
65,2250,0
66,2083,0
67,2281,0
68,1752,0
69,1762,0
70,1968,0
71,2288,0
72,1655,0
73,1430,0
74,1942,0
75,2345,0
76,1616,0
77,1547,0
78,1677,0
79,1883,0
80,1448,0
81,1513,0
82,1819,0
83,1603,0
84,2523,0
85,1369,0
86,1911,0
87,1711,0
88,1828,0
89,1695,0
90,1911,0
91,3073,0
92,1606,0
93,1778,0
94,1817,0
95,2075,0
96,2150,0
97,1973,0
98,2019,0
99,2609,0
100,1756,0
101,2223,0
102,1723,0
103,2121,0
104,2104,0
105,2186,0
106,2584,0
107,4286,0
108,4275,0
109,2869,0
110,2047,0
111,2163,0
112,2245,0
113,2689,0
114,2161,0
115,2041,0
116,2244,0
117,3313,0
118,1945,0
119,2324,0
120,2050,0
121,3052,0
122,1466,0
123,3263,0
124,1981,0
125,3234,0
126,1910,0
127,1943,0
128,2063,0
129,4489,0
130,1984,0
131,2052,0
132,3382,0
133,2194,0
134,1817,0
135,2186,0
136,2078,0
137,2451,0
138,2404,0
139,1733,0
140,3396,0
141,2800,0
142,3144,0
143,2582,0
144,3344,0
145,1716,0
146,1946,0
147,1693,0
148,1878,0
149,2174,0
150,1624,0
151,2297,0
152,1745,0
153,2026,0
154,2669,0
155,1579,0
156,1564,0
157,1834,0
158,2599,0
159,1952,0
160,2489,0
161,1398,0
162,1780,0
163,2476,0
164,1674,0
165,3297,0
166,1985,0
167,2022,0
168,1910,0
169,1888,0
170,1802,0
171,2054,0
172,2620,0
173,2387,0
174,1715,0
175,2238,0
176,2238,0
177,2192,0
178,1733,0
179,1931,0
180,3161,0
181,2136,0
182,3116,0
183,2044,0
184,2009,0
185,1722,0
186,2574,0
187,2485,0
188,2089,0
189,2852,0
190,2066,0
191,2051,0
192,2365,0
193,1833,0
194,1917,0
195,2032,0
196,2376,0
197,2028,0
198,2072,0
199,2079,0
200,2677,0
201,2629,0
202,2691,0
203,2600,0
204,1683,0
205,2219,0
206,2098,0
207,2638,0
208,2278,0
209,1972,0
210,2054,0
211,1951,0
212,2225,0
213,3773,0
214,2528,0
215,1959,0
216,1714,0
217,2620,0
218,2088,0
219,1795,0
220,2054,0
221,2753,0
222,3036,0
223,1682,0
224,2346,0
225,2510,0
226,3155,0
227,1931,0
228,1833,0
229,1894,0
230,1886,0
231,1772,0
232,2797,0
233,1520,0
234,2162,0
235,2119,0
236,2162,0
237,2660,0
238,2604,0
239,4141,0
240,2846,0
241,2235,0
242,2304,0
243,2410,0
244,1616,0
245,1973,0
246,1884,0
247,2008,0
248,2996,0
249,2794,0
250,2616,0
251,2686,0
252,2915,0
253,2053,0
254,2256,0
255,2409,0
256,3247,0
257,2293,0
258,2072,0
259,2193,0
260,2333,0
261,2230,0
262,2546,0
263,2620,0
264,1768,0
265,3316,0
266,2219,0
267,1546,0
268,2067,0
269,1424,0
270,1585,0
271,3013,0
272,1869,0
273,2301,0
274,2356,0
275,3014,0
276,1466,0
277,2385,0
278,3762,0
279,4127,0
280,1950,0
281,3302,0
282,2894,0
283,1307,0
284,3107,0
285,2418,0
286,1483,0
287,5215,0
288,1529,0
289,3754,0
290,4297,0
291,1404,0
292,2054,0
293,1479,0
294,2465,0
295,1423,0
296,2249,0
297,2253,0
298,3648,0
299,3299,0
300,4551,0
301,2719,0
302,3112,0
303,4039,0
304,7899,0
305,2530,0
306,2011,0
307,2171,0
308,2057,0
309,1360,0
310,3246,0
311,2901,0
312,2495,0
313,2431,0
314,2713,0
315,1773,0
316,1885,0
317,1322,0
318,3941,0
319,1919,0
320,2252,0
321,1629,0
322,1336,0
323,1323,0
324,3210,0
325,3962,0
326,2544,0
327,4307,0
328,1773,0
329,2227,0
330,3604,0
331,4084,0
332,2083,0
333,2900,0
334,3050,0
335,2272,0
336,3456,0
337,2330,0
338,2751,0
339,2625,0
340,2499,0
341,2344,0
342,3260,0
343,2609,0
344,2541,0
345,2160,0
346,2218,0
347,2584,0
348,1851,0
349,2569,0
350,3501,0
351,3461,0
352,3079,0
353,2452,0
354,2336,0
355,2436,0
356,1646,0
357,3062,0
358,1960,0
359,1957,0
360,2391,0
361,2760,0
362,2669,0
363,2378,0
364,3623,0
365,2332,0
366,4229,0
367,4945,0
368,3776,0
369,1976,0
370,4840,0
371,4213,0
372,2320,0
373,2665,0
374,3563,0
375,2109,0
376,3957,0
377,1608,0
378,1684,0
379,2175,0
380,2366,0
381,1598,0
